"","V1","V2"
"1","loan_amnt:term","0.17742808928495"
"2","loan_amnt:emp_length","0.066961814502954"
"3","loan_amnt:home_ownership","0.0627221486500378"
"4","loan_amnt:purpose","0.126117463957584"
"5","loan_amnt:dti","0.0786826020602718"
"6","loan_amnt:delinq_2yrs","0.0204934151653429"
"7","loan_amnt:inq_last_6mths","0.152549075158652"
"8","loan_amnt:pub_rec","0.0364534060300692"
"9","loan_amnt:total_acc","0.0148891927555921"
"10","loan_amnt:time_since_first_loan","0.0202249390346578"
"11","loan_amnt:fac.annual_inc","0.142152141838163"
"12","term:emp_length","0.188385340355966"
"13","term:home_ownership","0.191638953795646"
"14","term:purpose","0.24666470260032"
"15","term:dti","0.196052289718533"
"16","term:delinq_2yrs","0.0214888131003401"
"17","term:inq_last_6mths","0.183451693297637"
"18","term:pub_rec","0.036606703072853"
"19","term:total_acc","0.191682574990847"
"20","term:time_since_first_loan","0.196985238753642"
"21","term:fac.annual_inc","0.239777884520432"
"22","emp_length:home_ownership","0.0752787244046105"
"23","emp_length:purpose","0.174171280076299"
"24","emp_length:dti","0.0875103041210465"
"25","emp_length:delinq_2yrs","0.0214259752417263"
"26","emp_length:inq_last_6mths","0.155506359869341"
"27","emp_length:pub_rec","0.038316959835544"
"28","emp_length:total_acc","0.0655735209516066"
"29","emp_length:time_since_first_loan","0.067683616769475"
"30","emp_length:fac.annual_inc","0.142871259187257"
"31","home_ownership:purpose","0.144432258239158"
"32","home_ownership:dti","0.0744830725426426"
"33","home_ownership:delinq_2yrs","0.0200832319105941"
"34","home_ownership:inq_last_6mths","0.153986135723993"
"35","home_ownership:pub_rec","0.0360709334562583"
"36","home_ownership:total_acc","0.0480829827667626"
"37","home_ownership:time_since_first_loan","0.0439726404331497"
"38","home_ownership:fac.annual_inc","0.116294929794558"
"39","purpose:dti","0.144536309953851"
"40","purpose:delinq_2yrs","0.0293757186209525"
"41","purpose:inq_last_6mths","0.169516269381248"
"42","purpose:pub_rec","0.0386842945563388"
"43","purpose:total_acc","0.136534908651206"
"44","purpose:time_since_first_loan","0.135840002354775"
"45","purpose:fac.annual_inc","0.197048009326339"
"46","dti:delinq_2yrs","0.0186863865235263"
"47","dti:inq_last_6mths","0.152768852605931"
"48","dti:pub_rec","0.0362589897427905"
"49","dti:total_acc","0.0256818669808503"
"50","dti:time_since_first_loan","0.0345350668627891"
"51","dti:fac.annual_inc","0.113967240146577"
"52","delinq_2yrs:inq_last_6mths","0.0235976158932738"
"53","delinq_2yrs:pub_rec","0.00313961174035104"
"54","delinq_2yrs:total_acc","0.0192982606449199"
"55","delinq_2yrs:time_since_first_loan","0.019040880350252"
"56","delinq_2yrs:fac.annual_inc","0.0262439014200597"
"57","inq_last_6mths:pub_rec","0.0305423057000063"
"58","inq_last_6mths:total_acc","0.127604390082499"
"59","inq_last_6mths:time_since_first_loan","0.135843686950251"
"60","inq_last_6mths:fac.annual_inc","0.16475240812641"
"61","pub_rec:total_acc","0.0362547374778288"
"62","pub_rec:time_since_first_loan","0.0356669367476903"
"63","pub_rec:fac.annual_inc","0.0363695640085426"
"64","total_acc:time_since_first_loan","0.0429135426229112"
"65","total_acc:fac.annual_inc","0.103066732280758"
"66","time_since_first_loan:fac.annual_inc","0.105482450188908"
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
